Navn,Hold,Position,Pris,Startpris,Vækst Runde 1,Vækst Runde 2,Vækst Runde 3,Vækst%,Runde1-points,Popularitet%,UdeAfSpil,Skadet
Nico Elvedi,Schweiz,DEF,3102000,3000000,14000,44000,44000,3.40,0,2.93,Nej,Nej
Silvan Widmer,Schweiz,DEF,3071000,3000000,-5000,52000,24000,2.37,0,1.52,Nej,Nej
Ricardo Rodriguez,Schweiz,DEF,3130000,3000000,22000,64000,44000,4.33,0,1.50,Nej,Nej
Eray Cömert,Schweiz,DEF,1985000,2000000,-5000,-5000,-5000,-0.75,0,0.12,Nej,Nej
Manuel Akanji,Schweiz,DEF,3632000,3500000,24000,64000,44000,3.77,0,3.10,Nej,Nej
Becir Omeragic,Schweiz,DEF,2000000,2000000,0,0,0,0.00,0,0.00,Ja,Nej
Cedric Zesiger,Schweiz,DEF,2000000,2000000,0,0,0,0.00,0,0.00,Ja,Nej
Aurele Amenda,Schweiz,DEF,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.11,Nej,Nej
Luca Jaquez,Schweiz,DEF,2091000,2000000,-5000,44000,52000,4.55,0,0.10,Nej,Nej
Isaac Schmidt,Schweiz,DEF,2000000,2000000,0,0,0,0.00,0,0.00,Ja,Nej
Miro Muheim,Schweiz,DEF,2494000,2500000,4000,-5000,-5000,-0.24,0,0.06,Nej,Nej
Adrian Bajrami,Schweiz,DEF,2000000,2000000,0,0,0,0.00,0,0.00,Ja,Nej
Lucas Blondel,Schweiz,DEF,2000000,2000000,0,0,0,0.00,0,0.00,Ja,Nej
Stepan Chaloupek,Tjekkiet,DEF,1983000,2000000,-7000,-5000,-5000,-0.85,0,0.12,Nej,Nej
Robin Hranac,Tjekkiet,DEF,2482000,2500000,-7000,14000,-25000,-0.72,0,0.07,Nej,Nej
Ladislav Krejci,Tjekkiet,DEF,3170000,3000000,168000,27000,-25000,5.67,0,0.73,Nej,Nej
Martin Vitik,Tjekkiet,DEF,2500000,2500000,0,0,0,0.00,0,0.00,Ja,Nej
David Jurasek,Tjekkiet,DEF,1985000,2000000,-5000,-5000,-5000,-0.75,0,0.15,Nej,Nej
David Zima,Tjekkiet,DEF,1994000,2000000,-5000,4000,-5000,-0.30,0,0.06,Nej,Nej
Jaroslav Zeleny,Tjekkiet,DEF,2492000,2500000,-7000,4000,-5000,-0.32,0,0.04,Nej,Nej
Tomas Holes,Tjekkiet,DEF,1992000,2000000,-5000,14000,-17000,-0.40,0,0.23,Nej,Nej
Vladimir Coufal,Tjekkiet,DEF,3042000,3000000,53000,14000,-25000,1.40,0,0.49,Nej,Nej
João Cancelo,Portugal,DEF,5148000,5000000,14000,122000,12000,2.96,0,1.63,Nej,Nej
Nelson Semedo,Portugal,DEF,4039000,4000000,-8000,52000,-5000,0.97,0,0.40,Nej,Nej
Diogo Dalot,Portugal,DEF,4002000,4000000,-5000,-5000,12000,0.05,0,1.41,Nej,Nej
Nuno Tavares,Portugal,DEF,3500000,3500000,0,0,0,0.00,0,0.00,Ja,Nej
Ruben Dias,Portugal,DEF,4189000,4000000,-5000,132000,62000,4.72,0,3.17,Nej,Nej
Nuno Mendes,Portugal,DEF,4883000,4500000,14000,307000,62000,8.51,0,13.68,Nej,Nej
Goncalo Inacio,Portugal,DEF,3985000,4000000,-5000,-5000,-5000,-0.38,0,0.52,Nej,Nej
Tomas Araujo,Portugal,DEF,3484000,3500000,-6000,-5000,-5000,-0.46,0,0.31,Nej,Nej
Antonio Silva,Portugal,DEF,3500000,3500000,0,0,0,0.00,0,0.00,Ja,Nej
Renato Veiga,Portugal,DEF,3688000,3500000,14000,112000,62000,5.37,0,0.56,Nej,Nej
